Active School Zone Flag,Crash Severity,Crash Time,Day of Week,Roadway Part,Speed Limit,Surface Condition,Person Helmet,Hour,Minute,Crash Severity Binary,Person Helmet Binary
No,Incapacitating Injury,7:22,Wednesday,Main/Proper Lane,35,Unknown,Not Worn,7,22,1,Not Wear
No,Possible Injury,7:58,Friday,Main/Proper Lane,30,Dry,Not Worn,7,58,1,Not Wear
No,Possible Injury,16:58,Monday,Main/Proper Lane,35,Dry,Not Worn,16,58,1,Not Wear
No,Non-Incapacitating Injury,13:15,Saturday,Main/Proper Lane,15,Dry,Not Worn,13,15,1,Not Wear
No,Non-Incapacitating Injury,12:16,Sunday,Main/Proper Lane,45,Dry,Not Worn,12,16,1,Not Wear
No,Incapacitating Injury,19:45,Sunday,Main/Proper Lane,35,Dry,Not Worn,19,45,1,Not Wear
No,Non-Incapacitating Injury,11:26,Friday,Main/Proper Lane,30,Wet,Not Worn,11,26,1,Not Wear
No,Non-Incapacitating Injury,18:40,Saturday,Main/Proper Lane,40,Dry,Not Worn,18,40,1,Not Wear
No,Possible Injury,11:52,Monday,Main/Proper Lane,35,Dry,Not Worn,11,52,1,Not Wear
No,Possible Injury,7:58,Thursday,Main/Proper Lane,30,Dry,Not Worn,7,58,1,Not Wear
No,Non-Incapacitating Injury,15:43,Thursday,Service/Frontage Road,55,Dry,Not Worn,15,43,1,Not Wear
No,Possible Injury,16:54,Sunday,Main/Proper Lane,60,Dry,"Worn, Damaged",16,54,1,Wear
No,Non-Incapacitating Injury,6:50,Monday,Main/Proper Lane,35,Wet,Not Worn,6,50,1,Not Wear
No,Possible Injury,2:30,Tuesday,Other (Explain In Narrative),35,Other (Explain In Narrative),Not Worn,2,30,1,Not Wear
No,Non-Incapacitating Injury,17:34,Tuesday,Main/Proper Lane,35,Dry,Unknown If Worn,17,34,1,Not Wear
No,Not Injured,15:41,Tuesday,Service/Frontage Road,45,Dry,Unknown If Worn,15,41,0,Not Wear
No,Possible Injury,14:20,Tuesday,Main/Proper Lane,35,Dry,Not Worn,14,20,1,Not Wear
No,Non-Incapacitating Injury,17:37,Wednesday,Main/Proper Lane,30,Dry,Not Worn,17,37,1,Not Wear
No,Non-Incapacitating Injury,11:36,Monday,Main/Proper Lane,30,Wet,Not Worn,11,36,1,Not Wear
No,Non-Incapacitating Injury,11:36,Monday,Main/Proper Lane,30,Wet,Not Worn,11,36,1,Not Wear
No,Incapacitating Injury,6:08,Tuesday,Service/Frontage Road,55,Wet,Not Worn,6,8,1,Not Wear
No,Non-Incapacitating Injury,13:25,Tuesday,Main/Proper Lane,15,Dry,"Worn, Unk Damage",13,25,1,Wear
No,Non-Incapacitating Injury,23:26,Wednesday,Main/Proper Lane,35,Dry,Not Worn,23,26,1,Not Wear
No,Non-Incapacitating Injury,20:25,Sunday,Main/Proper Lane,30,Dry,Not Worn,20,25,1,Not Wear
No,Non-Incapacitating Injury,11:40,Sunday,Main/Proper Lane,30,Dry,Not Worn,11,40,1,Not Wear
No,Possible Injury,21:23,Monday,Main/Proper Lane,15,Unknown,Not Worn,21,23,1,Not Wear
No,Non-Incapacitating Injury,17:53,Wednesday,Main/Proper Lane,35,Dry,Not Worn,17,53,1,Not Wear
No,Non-Incapacitating Injury,2:27,Wednesday,Main/Proper Lane,35,Dry,Not Worn,2,27,1,Not Wear
No,Non-Incapacitating Injury,19:34,Wednesday,Main/Proper Lane,45,Dry,"Worn, Not Damaged",19,34,1,Wear
No,Not Injured,17:11,Thursday,Main/Proper Lane,35,Dry,Not Worn,17,11,0,Not Wear
No,Possible Injury,20:45,Thursday,Main/Proper Lane,30,Dry,Not Worn,20,45,1,Not Wear
No,Non-Incapacitating Injury,14:42,Friday,Main/Proper Lane,35,Dry,Not Worn,14,42,1,Not Wear
No,Possible Injury,1:07,Friday,Main/Proper Lane,35,Dry,"Worn, Not Damaged",1,7,1,Wear
No,Non-Incapacitating Injury,16:21,Friday,Main/Proper Lane,30,Dry,"Worn, Damaged",16,21,1,Wear
No,Incapacitating Injury,21:29,Friday,Main/Proper Lane,30,Dry,Not Worn,21,29,1,Not Wear
No,Non-Incapacitating Injury,21:15,Saturday,Service/Frontage Road,45,Dry,Not Worn,21,15,1,Not Wear
No,Non-Incapacitating Injury,16:23,Sunday,Main/Proper Lane,15,Dry,Not Worn,16,23,1,Not Wear
No,Possible Injury,11:12,Thursday,Main/Proper Lane,35,Dry,Not Worn,11,12,1,Not Wear
No,Non-Incapacitating Injury,18:00,Friday,Other (Explain In Narrative),40,Dry,Not Worn,18,0,1,Not Wear
No,Incapacitating Injury,18:31,Saturday,Main/Proper Lane,35,Dry,Not Worn,18,31,1,Not Wear
No,Non-Incapacitating Injury,19:03,Monday,Service/Frontage Road,15,Dry,Not Worn,19,3,1,Not Wear
No,Not Injured,17:32,Tuesday,Other (Explain In Narrative),45,Dry,Not Worn,17,32,0,Not Wear
No,Incapacitating Injury,4:48,Wednesday,Main/Proper Lane,45,Dry,Not Worn,4,48,1,Not Wear
No,Non-Incapacitating Injury,9:16,Thursday,Main/Proper Lane,40,Dry,Not Worn,9,16,1,Not Wear
No,Non-Incapacitating Injury,1:04,Friday,Main/Proper Lane,30,Dry,Not Worn,1,4,1,Not Wear
No,Non-Incapacitating Injury,1:04,Friday,Main/Proper Lane,30,Dry,Not Worn,1,4,1,Not Wear
No,Non-Incapacitating Injury,9:49,Friday,Main/Proper Lane,35,Dry,Not Worn,9,49,1,Not Wear
No,Non-Incapacitating Injury,1:06,Sunday,Main/Proper Lane,35,Dry,Not Worn,1,6,1,Not Wear
No,Not Injured,8:37,Monday,Main/Proper Lane,30,Dry,Not Worn,8,37,0,Not Wear
No,Non-Incapacitating Injury,14:02,Tuesday,Main/Proper Lane,25,Dry,Not Worn,14,2,1,Not Wear
No,Non-Incapacitating Injury,8:51,Wednesday,Main/Proper Lane,40,Dry,"Worn, Not Damaged",8,51,1,Wear
No,Possible Injury,13:59,Wednesday,Main/Proper Lane,60,Dry,"Worn, Not Damaged",13,59,1,Wear
No,Non-Incapacitating Injury,17:22,Thursday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",17,22,1,Wear
No,Possible Injury,9:19,Thursday,Main/Proper Lane,15,Dry,Not Worn,9,19,1,Not Wear
No,Incapacitating Injury,16:43,Friday,Main/Proper Lane,15,Dry,Not Worn,16,43,1,Not Wear
No,Incapacitating Injury,9:40,Friday,Main/Proper Lane,35,Dry,Not Worn,9,40,1,Not Wear
No,Possible Injury,19:41,Friday,Main/Proper Lane,35,Dry,Not Worn,19,41,1,Not Wear
No,Possible Injury,11:54,Saturday,Main/Proper Lane,35,Dry,"Worn, Unk Damage",11,54,1,Wear
No,Non-Incapacitating Injury,18:13,Monday,Main/Proper Lane,35,Dry,"Worn, Not Damaged",18,13,1,Wear
No,Non-Incapacitating Injury,12:39,Tuesday,Main/Proper Lane,40,Dry,"Worn, Unk Damage",12,39,1,Wear
No,Non-Incapacitating Injury,18:25,Wednesday,Main/Proper Lane,35,Dry,"Worn, Not Damaged",18,25,1,Wear
No,Non-Incapacitating Injury,13:00,Friday,Main/Proper Lane,35,Unknown,Unknown If Worn,13,0,1,Not Wear
No,Non-Incapacitating Injury,21:20,Friday,Main/Proper Lane,45,Wet,Not Worn,21,20,1,Not Wear
No,Non-Incapacitating Injury,16:27,Sunday,Main/Proper Lane,30,Dry,Not Worn,16,27,1,Not Wear
No,Not Injured,11:30,Sunday,Main/Proper Lane,45,Dry,"Worn, Not Damaged",11,30,0,Wear
No,Possible Injury,15:38,Tuesday,Main/Proper Lane,30,Dry,"Worn, Not Damaged",15,38,1,Wear
No,Non-Incapacitating Injury,12:40,Tuesday,Main/Proper Lane,30,Dry,Not Worn,12,40,1,Not Wear
No,Non-Incapacitating Injury,16:50,Thursday,Service/Frontage Road,15,Wet,Not Worn,16,50,1,Not Wear
No,Incapacitating Injury,22:05,Friday,Service/Frontage Road,40,Dry,Not Worn,22,5,1,Not Wear
No,Non-Incapacitating Injury,17:36,Friday,Main/Proper Lane,35,Wet,Unknown If Worn,17,36,1,Not Wear
No,Possible Injury,15:45,Monday,Main/Proper Lane,35,Dry,Not Worn,15,45,1,Not Wear
No,Possible Injury,21:19,Monday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",21,19,1,Wear
No,Possible Injury,14:04,Tuesday,Main/Proper Lane,15,Dry,Not Worn,14,4,1,Not Wear
No,Not Injured,16:00,Tuesday,Main/Proper Lane,35,Dry,"Worn, Unk Damage",16,0,0,Wear
No,Non-Incapacitating Injury,8:44,Wednesday,Main/Proper Lane,35,Dry,Unknown If Worn,8,44,1,Not Wear
No,Non-Incapacitating Injury,13:37,Friday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",13,37,1,Wear
No,Non-Incapacitating Injury,16:44,Friday,Service/Frontage Road,15,Dry,Not Worn,16,44,1,Not Wear
No,Possible Injury,19:00,Saturday,Other (Explain In Narrative),15,Dry,Not Worn,19,0,1,Not Wear
No,Non-Incapacitating Injury,20:42,Monday,Main/Proper Lane,40,Dry,Not Worn,20,42,1,Not Wear
No,Possible Injury,4:00,Tuesday,Main/Proper Lane,40,Dry,Not Worn,4,0,1,Not Wear
No,Possible Injury,11:52,Tuesday,Main/Proper Lane,45,Dry,Not Worn,11,52,1,Not Wear
No,Possible Injury,12:06,Wednesday,Other (Explain In Narrative),15,Dry,Not Worn,12,6,1,Not Wear
No,Possible Injury,11:53,Sunday,Main/Proper Lane,30,Dry,Not Worn,11,53,1,Not Wear
No,Non-Incapacitating Injury,12:01,Thursday,Main/Proper Lane,35,Dry,Not Worn,12,1,1,Not Wear
No,Non-Incapacitating Injury,18:51,Wednesday,Main/Proper Lane,35,Dry,Unknown If Worn,18,51,1,Not Wear
No,Not Injured,14:55,Saturday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",14,55,0,Wear
No,Non-Incapacitating Injury,19:27,Monday,Main/Proper Lane,35,Dry,Not Worn,19,27,1,Not Wear
No,Non-Incapacitating Injury,16:29,Tuesday,Other (Explain In Narrative),15,Dry,"Worn, Damaged",16,29,1,Wear
No,Non-Incapacitating Injury,23:39,Thursday,Main/Proper Lane,45,Dry,Unknown If Worn,23,39,1,Not Wear
No,Not Injured,21:38,Friday,Main/Proper Lane,30,Dry,Unknown If Worn,21,38,0,Not Wear
No,Non-Incapacitating Injury,3:07,Sunday,Main/Proper Lane,15,Dry,Not Worn,3,7,1,Not Wear
No,Non-Incapacitating Injury,17:43,Monday,Main/Proper Lane,30,Dry,Not Worn,17,43,1,Not Wear
No,Non-Incapacitating Injury,10:29,Friday,Main/Proper Lane,15,Dry,Not Worn,10,29,1,Not Wear
No,Non-Incapacitating Injury,13:59,Wednesday,Main/Proper Lane,30,Wet,Not Worn,13,59,1,Not Wear
No,Non-Incapacitating Injury,12:56,Wednesday,Main/Proper Lane,35,Wet,Not Worn,12,56,1,Not Wear
No,Non-Incapacitating Injury,10:51,Friday,Main/Proper Lane,45,Dry,"Worn, Damaged",10,51,1,Wear
No,Incapacitating Injury,2:31,Friday,Main/Proper Lane,40,Dry,Not Worn,2,31,1,Not Wear
No,Non-Incapacitating Injury,7:09,Tuesday,Main/Proper Lane,35,Dry,Not Worn,7,9,1,Not Wear
No,Incapacitating Injury,19:29,Tuesday,Main/Proper Lane,30,Dry,"Worn, Damaged",19,29,1,Wear
No,Killed,21:36,Tuesday,Main/Proper Lane,45,Dry,"Worn, Unk Damage",21,36,1,Wear
No,Non-Incapacitating Injury,16:42,Thursday,Main/Proper Lane,35,Dry,"Worn, Not Damaged",16,42,1,Wear
No,Non-Incapacitating Injury,18:27,Wednesday,Main/Proper Lane,35,Dry,"Worn, Damaged",18,27,1,Wear
No,Possible Injury,8:12,Thursday,Service/Frontage Road,45,Dry,Not Worn,8,12,1,Not Wear
No,Non-Incapacitating Injury,9:39,Thursday,Main/Proper Lane,35,Dry,Not Worn,9,39,1,Not Wear
No,Non-Incapacitating Injury,15:14,Friday,Main/Proper Lane,15,Dry,Not Worn,15,14,1,Not Wear
No,Non-Incapacitating Injury,19:15,Friday,Service/Frontage Road,15,Dry,Unknown If Worn,19,15,1,Not Wear
No,Non-Incapacitating Injury,2:35,Saturday,Main/Proper Lane,45,Dry,Not Worn,2,35,1,Not Wear
No,Killed,9:40,Monday,Service/Frontage Road,15,Dry,Unknown If Worn,9,40,1,Not Wear
No,Incapacitating Injury,19:22,Tuesday,Main/Proper Lane,15,Wet,Not Worn,19,22,1,Not Wear
No,Non-Incapacitating Injury,10:52,Tuesday,Service/Frontage Road,55,Dry,Not Worn,10,52,1,Not Wear
No,Possible Injury,19:20,Wednesday,Other (Explain In Narrative),25,Dry,Not Worn,19,20,1,Not Wear
No,Possible Injury,12:03,Friday,Main/Proper Lane,40,Dry,"Worn, Not Damaged",12,3,1,Wear
No,Non-Incapacitating Injury,10:40,Saturday,Main/Proper Lane,30,Dry,Not Worn,10,40,1,Not Wear
No,Non-Incapacitating Injury,2:39,Sunday,Other (Explain In Narrative),35,Dry,Not Worn,2,39,1,Not Wear
No,Non-Incapacitating Injury,2:39,Sunday,Other (Explain In Narrative),35,Dry,Not Worn,2,39,1,Not Wear
No,Possible Injury,23:49,Sunday,Main/Proper Lane,35,Dry,"Worn, Unk Damage",23,49,1,Wear
No,Non-Incapacitating Injury,8:54,Tuesday,Main/Proper Lane,35,Dry,Not Worn,8,54,1,Not Wear
No,Possible Injury,12:17,Tuesday,Main/Proper Lane,40,Dry,Not Worn,12,17,1,Not Wear
No,Possible Injury,12:55,Thursday,Main/Proper Lane,15,Dry,Not Worn,12,55,1,Not Wear
No,Non-Incapacitating Injury,7:50,Friday,Main/Proper Lane,30,Dry,"Worn, Damaged",7,50,1,Wear
No,Incapacitating Injury,13:24,Friday,Main/Proper Lane,40,Dry,Not Worn,13,24,1,Not Wear
No,Non-Incapacitating Injury,21:18,Sunday,Main/Proper Lane,15,Dry,Not Worn,21,18,1,Not Wear
No,Possible Injury,21:07,Monday,Main/Proper Lane,35,Dry,Not Worn,21,7,1,Not Wear
No,Incapacitating Injury,18:33,Tuesday,Main/Proper Lane,35,Dry,Not Worn,18,33,1,Not Wear
No,Non-Incapacitating Injury,7:15,Wednesday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",7,15,1,Wear
No,Possible Injury,13:39,Thursday,Main/Proper Lane,35,Dry,Not Worn,13,39,1,Not Wear
No,Non-Incapacitating Injury,13:39,Monday,Other (Explain In Narrative),15,Dry,Not Worn,13,39,1,Not Wear
No,Non-Incapacitating Injury,22:50,Monday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",22,50,1,Wear
No,Non-Incapacitating Injury,14:49,Tuesday,Main/Proper Lane,50,Dry,"Worn, Damaged",14,49,1,Wear
No,Non-Incapacitating Injury,12:10,Friday,Main/Proper Lane,35,Dry,Not Worn,12,10,1,Not Wear
No,Non-Incapacitating Injury,17:27,Saturday,Main/Proper Lane,35,Dry,"Worn, Not Damaged",17,27,1,Wear
No,Not Injured,2:53,Sunday,Main/Proper Lane,30,Dry,Not Worn,2,53,0,Not Wear
No,Non-Incapacitating Injury,17:32,Wednesday,Main/Proper Lane,45,Dry,Not Worn,17,32,1,Not Wear
No,Non-Incapacitating Injury,17:20,Saturday,Main/Proper Lane,35,Dry,Not Worn,17,20,1,Not Wear
No,Not Injured,17:37,Saturday,Main/Proper Lane,15,Dry,Not Worn,17,37,0,Not Wear
No,Non-Incapacitating Injury,7:38,Monday,Main/Proper Lane,25,Dry,Not Worn,7,38,1,Not Wear
No,Non-Incapacitating Injury,1:48,Thursday,Main/Proper Lane,30,Dry,Not Worn,1,48,1,Not Wear
No,Non-Incapacitating Injury,1:48,Thursday,Main/Proper Lane,30,Dry,Not Worn,1,48,1,Not Wear
No,Non-Incapacitating Injury,1:48,Thursday,Main/Proper Lane,30,Dry,Not Worn,1,48,1,Not Wear
No,Non-Incapacitating Injury,8:54,Friday,Main/Proper Lane,30,Dry,Not Worn,8,54,1,Not Wear
No,Non-Incapacitating Injury,8:54,Friday,Main/Proper Lane,30,Dry,Not Worn,8,54,1,Not Wear
No,Non-Incapacitating Injury,17:20,Friday,Main/Proper Lane,35,Dry,"Worn, Damaged",17,20,1,Wear
No,Possible Injury,2:25,Friday,Main/Proper Lane,35,Dry,"Worn, Not Damaged",2,25,1,Wear
No,Incapacitating Injury,20:55,Friday,Main/Proper Lane,45,Dry,Not Worn,20,55,1,Not Wear
No,Non-Incapacitating Injury,7:25,Saturday,Main/Proper Lane,35,Dry,"Worn, Unk Damage",7,25,1,Wear
No,Non-Incapacitating Injury,11:40,Saturday,Main/Proper Lane,30,Dry,Not Worn,11,40,1,Not Wear
No,Non-Incapacitating Injury,8:44,Sunday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",8,44,1,Wear
No,Non-Incapacitating Injury,14:27,Monday,Other (Explain In Narrative),15,Dry,Not Worn,14,27,1,Not Wear
No,Non-Incapacitating Injury,22:38,Monday,Other (Explain In Narrative),35,Dry,Not Worn,22,38,1,Not Wear
No,Non-Incapacitating Injury,18:05,Tuesday,Main/Proper Lane,30,Dry,Not Worn,18,5,1,Not Wear
No,Incapacitating Injury,17:42,Thursday,Other (Explain In Narrative),60,Dry,"Worn, Unk Damage",17,42,1,Wear
No,Non-Incapacitating Injury,20:32,Friday,Main/Proper Lane,30,Dry,"Worn, Damaged",20,32,1,Wear
No,Non-Incapacitating Injury,12:00,Saturday,Main/Proper Lane,30,Dry,Not Worn,12,0,1,Not Wear
No,Incapacitating Injury,2:42,Sunday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",2,42,1,Wear
No,Non-Incapacitating Injury,7:24,Tuesday,Main/Proper Lane,40,Dry,Not Worn,7,24,1,Not Wear
No,Non-Incapacitating Injury,12:32,Wednesday,Main/Proper Lane,35,Dry,Not Worn,12,32,1,Not Wear
No,Non-Incapacitating Injury,12:45,Tuesday,Main/Proper Lane,35,Dry,Not Worn,12,45,1,Not Wear
No,Incapacitating Injury,18:30,Tuesday,Service/Frontage Road,15,Dry,Not Worn,18,30,1,Not Wear
No,Non-Incapacitating Injury,7:50,Friday,Other (Explain In Narrative),30,Dry,"Worn, Damaged",7,50,1,Wear
No,Non-Incapacitating Injury,19:41,Friday,Main/Proper Lane,15,Dry,Unknown If Worn,19,41,1,Not Wear
No,Non-Incapacitating Injury,18:09,Friday,Main/Proper Lane,30,Dry,"Worn, Damaged",18,9,1,Wear
No,Non-Incapacitating Injury,10:05,Sunday,Main/Proper Lane,30,Dry,Not Worn,10,5,1,Not Wear
No,Non-Incapacitating Injury,20:32,Wednesday,Other (Explain In Narrative),15,Dry,Unknown If Worn,20,32,1,Not Wear
No,Possible Injury,12:01,Wednesday,Other (Explain In Narrative),25,Dry,Not Worn,12,1,1,Not Wear
No,Non-Incapacitating Injury,13:14,Thursday,Other (Explain In Narrative),15,Dry,Not Worn,13,14,1,Not Wear
No,Non-Incapacitating Injury,14:47,Friday,Entrance/On Ramp,15,Dry,Not Worn,14,47,1,Not Wear
No,Non-Incapacitating Injury,10:20,Sunday,Main/Proper Lane,30,Dry,Not Worn,10,20,1,Not Wear
No,Non-Incapacitating Injury,8:38,Monday,Main/Proper Lane,35,Dry,Not Worn,8,38,1,Not Wear
No,Not Injured,20:38,Monday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",20,38,0,Wear
No,Incapacitating Injury,19:28,Monday,Main/Proper Lane,30,Dry,"Worn, Unk Damage",19,28,1,Wear
No,Non-Incapacitating Injury,21:14,Tuesday,Main/Proper Lane,35,Dry,Not Worn,21,14,1,Not Wear
No,Not Injured,20:22,Wednesday,Main/Proper Lane,35,Dry,Not Worn,20,22,0,Not Wear
No,Possible Injury,7:33,Wednesday,Main/Proper Lane,15,Dry,Unknown If Worn,7,33,1,Not Wear
No,Possible Injury,11:38,Thursday,Service/Frontage Road,15,Dry,Not Worn,11,38,1,Not Wear
No,Non-Incapacitating Injury,20:46,Friday,Main/Proper Lane,40,Dry,"Worn, Not Damaged",20,46,1,Wear
No,Non-Incapacitating Injury,1:19,Saturday,Main/Proper Lane,15,Dry,Not Worn,1,19,1,Not Wear
No,Non-Incapacitating Injury,15:52,Sunday,Main/Proper Lane,35,Dry,Not Worn,15,52,1,Not Wear
No,Possible Injury,18:45,Monday,Main/Proper Lane,35,Dry,Not Worn,18,45,1,Not Wear
No,Non-Incapacitating Injury,10:36,Tuesday,Main/Proper Lane,30,Dry,"Worn, Unk Damage",10,36,1,Wear
No,Non-Incapacitating Injury,16:46,Tuesday,Main/Proper Lane,15,Dry,Not Worn,16,46,1,Not Wear
No,Not Injured,17:54,Wednesday,Main/Proper Lane,30,Dry,"Worn, Not Damaged",17,54,0,Wear
No,Incapacitating Injury,18:48,Thursday,Main/Proper Lane,35,Dry,Not Worn,18,48,1,Not Wear
No,Non-Incapacitating Injury,17:38,Thursday,Main/Proper Lane,45,Dry,Not Worn,17,38,1,Not Wear
No,Non-Incapacitating Injury,23:21,Sunday,Main/Proper Lane,35,Dry,Not Worn,23,21,1,Not Wear
No,Possible Injury,19:40,Sunday,Main/Proper Lane,35,Dry,Not Worn,19,40,1,Not Wear
No,Possible Injury,8:02,Tuesday,Service/Frontage Road,30,Dry,Not Worn,8,2,1,Not Wear
No,Possible Injury,12:47,Tuesday,Main/Proper Lane,35,Dry,Not Worn,12,47,1,Not Wear
No,Non-Incapacitating Injury,1:08,Thursday,Main/Proper Lane,30,Dry,Not Worn,1,8,1,Not Wear
No,Possible Injury,19:16,Thursday,Main/Proper Lane,35,Dry,Not Worn,19,16,1,Not Wear
No,Non-Incapacitating Injury,18:35,Friday,Main/Proper Lane,45,Dry,Not Worn,18,35,1,Not Wear
No,Possible Injury,10:01,Saturday,Main/Proper Lane,15,Dry,"Worn, Not Damaged",10,1,1,Wear
No,Non-Incapacitating Injury,8:37,Monday,Main/Proper Lane,30,Dry,Not Worn,8,37,1,Not Wear
No,Non-Incapacitating Injury,19:28,Tuesday,Main/Proper Lane,40,Dry,"Worn, Not Damaged",19,28,1,Wear
No,Incapacitating Injury,7:55,Wednesday,Main/Proper Lane,40,Dry,Not Worn,7,55,1,Not Wear
No,Non-Incapacitating Injury,17:58,Sunday,Main/Proper Lane,30,Dry,Not Worn,17,58,1,Not Wear
No,Non-Incapacitating Injury,22:13,Sunday,Service/Frontage Road,50,Dry,Not Worn,22,13,1,Not Wear
No,Incapacitating Injury,6:21,Sunday,Main/Proper Lane,45,Dry,Not Worn,6,21,1,Not Wear
No,Non-Incapacitating Injury,22:13,Sunday,Service/Frontage Road,50,Dry,Not Worn,22,13,1,Not Wear
No,Non-Incapacitating Injury,17:53,Monday,Main/Proper Lane,30,Dry,"Worn, Damaged",17,53,1,Wear
No,Non-Incapacitating Injury,18:04,Thursday,Main/Proper Lane,30,Dry,Not Worn,18,4,1,Not Wear
No,Non-Incapacitating Injury,7:29,Friday,Main/Proper Lane,45,Dry,Not Worn,7,29,1,Not Wear
No,Non-Incapacitating Injury,17:04,Saturday,Entrance/On Ramp,15,Dry,Not Worn,17,4,1,Not Wear
No,Non-Incapacitating Injury,17:33,Saturday,Other (Explain In Narrative),45,Dry,Not Worn,17,33,1,Not Wear
No,Possible Injury,8:35,Saturday,Main/Proper Lane,45,Dry,"Worn, Not Damaged",8,35,1,Wear
No,Non-Incapacitating Injury,11:49,Wednesday,Main/Proper Lane,40,Dry,Unknown If Worn,11,49,1,Not Wear
No,Not Injured,18:06,Wednesday,Other (Explain In Narrative),30,Dry,Not Worn,18,6,0,Not Wear
No,Non-Incapacitating Injury,16:14,Thursday,Main/Proper Lane,45,Dry,Not Worn,16,14,1,Not Wear
No,Non-Incapacitating Injury,10:26,Sunday,Main/Proper Lane,45,Dry,Not Worn,10,26,1,Not Wear
No,Non-Incapacitating Injury,10:18,Sunday,Service/Frontage Road,15,Dry,Unknown If Worn,10,18,1,Not Wear
No,Non-Incapacitating Injury,19:41,Tuesday,Main/Proper Lane,45,Dry,Not Worn,19,41,1,Not Wear
No,Non-Incapacitating Injury,14:40,Tuesday,Main/Proper Lane,40,Dry,Not Worn,14,40,1,Not Wear
No,Incapacitating Injury,13:55,Thursday,Main/Proper Lane,30,Dry,Not Worn,13,55,1,Not Wear
No,Non-Incapacitating Injury,15:40,Thursday,Main/Proper Lane,35,Dry,Not Worn,15,40,1,Not Wear
No,Non-Incapacitating Injury,21:39,Friday,Main/Proper Lane,50,Dry,Not Worn,21,39,1,Not Wear
No,Non-Incapacitating Injury,17:39,Friday,Main/Proper Lane,35,Dry,"Worn, Not Damaged",17,39,1,Wear
No,Non-Incapacitating Injury,15:32,Saturday,Main/Proper Lane,15,Dry,Not Worn,15,32,1,Not Wear
No,Non-Incapacitating Injury,13:17,Sunday,Main/Proper Lane,30,Dry,Not Worn,13,17,1,Not Wear
No,Non-Incapacitating Injury,21:22,Wednesday,Main/Proper Lane,30,Dry,Unknown If Worn,21,22,1,Not Wear
No,Possible Injury,16:44,Saturday,Main/Proper Lane,45,Dry,Not Worn,16,44,1,Not Wear
No,Non-Incapacitating Injury,15:02,Monday,Main/Proper Lane,15,Dry,Unknown If Worn,15,2,1,Not Wear
No,Possible Injury,13:44,Thursday,Main/Proper Lane,40,Dry,Not Worn,13,44,1,Not Wear
No,Possible Injury,17:35,Thursday,Service/Frontage Road,15,Dry,"Worn, Not Damaged",17,35,1,Wear
No,Incapacitating Injury,17:45,Saturday,Main/Proper Lane,40,Dry,Not Worn,17,45,1,Not Wear
